,source,target
1000,"Daanyeer ama Muusekorow , waa bahal ku nool caalamka , waxoo u badanyahay qaaradaha afrika iyo aasiya.Daanyeerka waa bahal geedaha fuulo , waxoona u dhisanyahay sida biniaadanka.
","They are distinguished from other primates by a wider degree of freedom of motion at the shoulder joint as evolved by the influence of brachiation.
"
1001,"Apple INC waa shirkad mareykan ah oo samaysa kumbiyuutarada iyo talefoonada gacanta iyo qalabada MP3 Player ah oo muskigga laga dhageysto oo loo yaqaan Ipod.
","Apple Inc. is an American multinational technology company headquartered in Cupertino , California , that designs , develops , and sells consumer electronics , computer software , and online services.
"
1002,"Jaamacada Carabta waa urur kulmiya wadamada carabta.Waa urur kulmiya wadamo kuyaala Afrika iyo Aasiya xubnaha kujira waxaa looyaqaana dawldo caraba.waa dawlado wadaaga arimo dhaqaale iyo arimo siyaasadeed.
","The Arab League was formed in Cairo on 22 March 1945 initially with six members : Egypt , Iraq , Transjordan ( renamed Jordan in 1949 ) , Lebanon , Saudi Arabia , and Syria.
"
1003,"waxaana ka dhexeeya xidhiidho aad iyo aad ubadan
","Yemen joined as a member on 5 May 1945.
"
1004,"waxee ku taalaa meesha ee afrika iyo aasiya ee iskaga dhagaayaan oo ah Siinaa.dalka ugu weyn jasiirad dhuleedkaan waa Sacuudi Carabiya , waxeena daris la tahay dallalka kala ah : -
","The Arabian Peninsula ( ' Arabian Peninsula ' or , , ' Island of the Arabs ' ) is a peninsula of Western Asia , situated northeast of Africa on the Arabian Plate.
"
1005,"Bada Carbeed waa magac loo bixiyay biyaha Bariga Dhexe oo ka mid ah Badweynta Hindiya.
","Its total area is 3,862,000 km ( 1,491,000 sq mi ) and its maximum depth is 4,652 meters ( 15,262 ft ).
"
1006,"Waxay ka mid tahay magaalooyinka ugu beeraha badan jamhuuriyada Somaliland.
","Arabsiyo is a town in the Maroodi Jeex province of Somaliland.
"
1007,"Arktik ( "" loogu dhawaaqo "" : ) waa deegaanada cidhifka ugu xiga dhinaca waqooyi ee dhulka.
","The Arctic ( or ) is a polar region located at the northernmost part of Earth.
"
1008,"Baar waa geed ka baxo wadamada kuul oo dhan.
","Those having a tree-like form are colloquially called palm trees.
"
1009,"mid waxaa jiro oo timir dhaleenin mid timirta oo dhalaa.
","Those having a tree-like form are colloquially called palm trees.
"
1010,"Arizona ; O'odham : "" Alĭ ṣonak "" ) waa gobol dhaca koonfurgalbeed wadanka Maraykanka.
","It is also part of the Western and the Mountain states.
"
1011,"Gobolka Carta waa mid ka mid ah lixda gobol ee Jabuuti.
","Arta Region is one of the six regions of Djibouti.
"
1012,"Carta waa magaalo ku taalo koonfurta bari ee dalka Jabuuti.
","Arta is a town in southeastern Djibouti.
"
1013,"Hami yarida ( ingiriis : asexuality ) waa xaalada rabitaanka yar iyo kacsi yar.
","It may be considered a sexual orientation or the lack thereof.
"
1014,"Magaalada Caasha Cado waxay 75 kilomitir u jirtaa magaalada Cabdulqaadir ( degmo ).
","Asha Addo is a town located in Awdal , Somaliland.
"
1015,"Qaarada Aasiya waxay ku fadhidaa dhul baaxadiisu le'eg tahay , taasi oo u dhiganta ilaa 30 % dhulka Dunidan iyo 8.7 % oogada sare ee meerahan.
","It shares the continental landmass of Eurasia with the continent of Europe and the continental landmass of Afro-Eurasia with both Europe and Africa.
"
1016,"Waxaa xusid mudan iyadna in qaarada Aasiya ay ka dhismeen boqortooyooyinka ugu horeeyay ee aadamuhu sameeyaan.
","Asia is Earth's largest and most populous continent , located primarily in the Eastern and Northern Hemispheres.
"
1017,"Asiana waxay leedahay xarun ay ku leedahay dhismaha Asiana Town ee Seoul.
","The airline's global headquarters is located in the capital city , Seoul.
"
1018,"Shakhsidarro oo af ingiriis loo yiraahdo "" asociality "" waa qofnimo oo ka maqan shakhsi , qeexan , sharraxeyn iyo cadayn.
","Asociality refers to the lack of motivation to engage in social interaction , or a preference for solitary activities.
"
1019,"Kox walbo waxee leedahay goolhaaye oo ah kan banooniga qabanaayo.
","The team with the higher number of goals wins the game.
"
1020,"Astrid Lindgren ( Af Iswidhish : ) waxay dhalatay 1907 waxayna dhimatay 2002.
","Lindgren has so far sold roughly 165 million books worldwide.
"
1021,"Magaalada Atlanta waxay leedahay shacabka ugu badan gobolka Joorjiya kuwaasi oo dhan 447,841 ( tiro koobtii 2010ka ).
","Atlanta is the capital and most populous city of the U.S. state of Georgia.
"
1022,"Atamku waa wax yer oo ilmaqabata ah , waana qayb ka tirsan Maatarka waxaan ognahay in uu yahay maatarka wixii cufleh culaysnaleh meelmadhana buuxin kara.
","They are so small that accurately predicting their behavior using classical physics - as if they were billiard balls , for example - is not possible due to quantum effects.
"
1023,"Tirada Atamka ama lambarka atamka ( Z ) ( Ingriis : Atomic number ) Waa ereybixin loo adeegsado Kimistari iyo Fiisikis ee ka socda tirada Borotoonnada ee ku jirta bu'da Atamka.
","The atomic number or proton number ( symbol "" Z "" ) of a chemical element is the number of protons found in the nucleus of every atom of that element.
"
1024,"Atamka waxaa ku jira danab dheellitiran , waxa ay noqonaysaa tirada Elektaroonno isle'eg ee tirada atam.
","In an uncharged atom , the atomic number is also equal to the number of electrons.
"
1025,"Sanadka miilaadiga bishiisa sideedaad , waxayna u dhaxaysaa bilaha Luuliyo iyo Sebteembar.
","In 8 BC , it was renamed in honor of Augustus.
"
1026,"Waa jadwalka 2012 ee The Avengers iyo 2015 ee Rakaabka : Da'da Ultron , iyo filimka sagaal iyo tobnaad ee Muuqaalka Marvel Cinematic ( MCU ).
","It is the sequel to "" The Avengers "" ( 2012 ) and "" "" ( 2015 ) , and the 19th film in the Marvel Cinematic Universe ( MCU ).
"
1027,"Abu Cali Al-Xusayn Bin Cabdallah Bin Al-Xasan Bin Cali Bin Sinaa ( Ibn Siinaa ) Waxa uu ahaa caalim iyo Dhakhtar Muslim ah.
","Of the 450 works he is believed to have written , around 240 have survived , including 150 on philosophy and 40 on medicine.
"
1028,"gaar ahaan galbeedka maamul goboleedka Soomaaliland.
","Awdal is a region in Somaliland.
"
1029,"Awdheegle waa degmo ka tirsan degmooyinka Gobolka Shabeellaha Hoose waxey caan ku tahay dhul beeraadka.
","Awdheegle Is home to the Bagedi clan that is part of the wider Digil clan family.
"
1030,"Magacaan waxaa bixiyay Masaaridii hore oo dhulka Soomaaliyeed u soo baayacmushtari jirtay kuwas oo ka tirsanaan jiray Faraacintii Masar maamuli jirtay dhalashadii Nabi Ciise ka hor "" NNK "".
","In the Roman period and perhaps earlier , the toponym referred to a portion of the Southeast Africa coast extending from Kenya , to perhaps as far south as Tanzania.
"
1031,"Dhinaca waqooyi ee Soomaliya waxay u bixiyeen "" Punt "" dhulkii udgoonaa , dhinaca kalena "" Azania "" dhulkii Barwaaqada ahaa.
","Azania is a name that has been applied to various parts of southeastern tropical Africa.
"
1032,"Waxaa sidoo kale loo yaqaanaa heerar kala duwan oo ka mid ah bulshooyinka reer Azerbeed ee Georgia iyo Turkiga iyo beelaha qurba-joogta ah , ugu horrayn Yurub iyo Waqooyiga Ameerika.
","Although there is a very high degree of mutual intelligibility between both forms of Azerbaijani , there are some significant differences in phonology , lexicon , morphology , syntax and sources of loanwords.
"
1033,"Waxay sameysay filimkeedii ugu horreeyay ee "" Architecture 101 "" ( 2012 ).
","She made her film debut in "" Architecture 101 "" ( 2012 ).
"
1034,"Baxrayn ama Boqortooyada Baxrayn ( af-Carabi مملكة البحرين Mamlakat al-Baxrayn.
","The capital and largest city is Manama.
"
1035,"Sida ku xusan taariikhda , wakhtiyadii hore , magaalada Baydhabo waxay xudun u ahayd Saldanadii Ajuuraan.
","During the Middle Ages , Baidoa and its surrounding area was part of the Ajuran Sultanate.
"
1036,"Gegada diyaaradaha Baydhabo waa gego diyaaradeed ku taala magaalada Baydhabo , gobolka Baay ee wadanka Soomaaliya.
","Baidoa Airport is an airport serving Baidoa , the capital city of the Bay region in Somalia.
"
1037,"Salman Khan ayaa u ciyaara Bajrangi , oo ah gabadha Hindu ee Hanuman , oo ku tilmaantay in ay gabadh yar oo lix jir ah ( Malhotra ) ay ka tagtay India , iyada oo ka tagtay Hindiya , oo dib ugu laabatay waddankeeda Pakistan.
","The film follows Pawan Kumar Chaturvedi , an ardent devotee of Hindu deity Hanuman , who embarks on a journey to take a mute six-year-old Pakistani Muslim girl , separated in India from her parents , back to her hometown in Pakistan.
"
1038,"Af-Bajuuni waa lahjad u dhow afka Sawaaxiliga.Waxaana ku hadlo dadka bajuuniga ah.
","Nurse & Hinnebusch ( 1993 ) classify it as a Northern Dialect of Swahili.
"
1039,"Lahjadaan waxaa looga hadlaa Jasiiradaha Jubbada Hoose ee koonfurtaSoomaaliya iyo woqooyiga dalka Kenya.
","Nurse & Hinnebusch ( 1993 ) classify it as a Northern Dialect of Swahili.
"
1040,"Balidhidhin waa degmo ku taalo gobolka Bari waxayna ujirtaa magalada Bosaaso 150km.
","Balidhidin is a district in the northeastern Bari region of Somalia.
"
1041,"Dowladaha Baldiiqa waa magac loo yaqaan sadex dowlad oo ka mida wadamada yurub , oo kala ah Estoniya , Latfia iyo Lithuania , hore waxaa uga mid ahaa finland hase yeeshee way ka baxday ,
","The term is not used in the context of cultural areas , national identity , or language , because while the majority of people in Latvia and Lithuania are Baltic people , the majority in Estonia are Finnic.
"
1042,"Balwo waa nooc ka mid ah heesaha Soomaalida.
","Its lyrical contents often deal with love and passion.
"
1043,"Balwo waa heesihii ugu horeeyay ee jacayl iyo kalgacal ku salaysan kuwaasi oo muusik loo garaaco.
","Balwo is a style of music and poetry practiced in Somalia as well as Djibouti.
"
1044,"Moos ama Muus waa mid ka mid ah dhirta miraheeda la cuno.
","In some countries , bananas used for cooking may be called "" plantains , "" distinguishing them from dessert bananas.
"
1045,"moosku wuxu la leeyhay noocyo iyo midabo kala duwan , waxaa ka mida mooska caadiga ah , moos sokorow , iyo moos bukeeni oo la karsado kuna badan dhulka koofurta soomaaliya.
","The scientific names of most cultivated bananas are "" Musa acuminata , "" "" Musa balbisiana , "" and "" Musa "" × "" paradisiaca "" for the hybrid "" Musa acuminata "" × "" M. balbisiana , "" depending on their genomic constitution.
"
1046,"Bananas in Pyjamas waxaa markii ugu qarnigii kaas soo hoos diintuu ukala qaybiyey Australian Broadcasting Corporation.
","Bananas in Pyjamas is an Australian children's television series that premiered on 20 July 1992 on ABC.
"
1047,"Junta ayaa natiijadii ka soo baxday doorashadii 1970-kii waxaana qabatay Ra'iisul-wasaare Sh.
","It resulted in the independence of the People's Republic of Bangladesh.
"
1048,"Bangui waa caasimada Jamhuuriyadda Bartamaha Afrika.
","it had an estimated population of 734,350.
"
1049,"Bangiyada waxaa inta badan iska leh dowlada dhexe taasi oo ku maamusha qiimaha iyo sicirka lacagta iyo badeecadaha kala duwan.
","A bank is a financial institution that accepts deposits from the public and creates a demand deposit , while simultaneously making loans.
"
1050,"Bankiga Somaliland Waxa la'aasaasay sanadii 1994 waana waxa uu laamo kuleeyhay dhammaan magaalooyinka waawayn ee wadanka sida.
","Established in 1994 , it serves as both a monetary authority and a commercial bank for the territory.
"
1051,"Baran waa tuulo oo ku yaal Sool oo ah dhulka Darwiish oo waxaa ku nool Baharsame.
","The main road that runs from the regional capital to the southeast is named after it.
"
1052,"Jasiiradaan waxaa degen dad gaaraayo ilaa 300,000 oo qof.
","Barbados is outside the principal Atlantic hurricane belt.
"
